dataset,landslide,type,soil_texture_idx,PGA2_max,x,y,predicted_susceptibility
training,0.0,Sandy Clay Loam,7,0.3484880328178406,25.93244,-51.94563,0.15533971786499023
training,0.0,Undifferentiated,7,0.15584203600883484,-24.765476,6.7787657,0.0694194957613945
training,0.0,Undifferentiated,7,0.12883855402469635,-25.812769,-27.585123,0.19917133450508118
training,0.0,Undifferentiated,7,0.17929305136203766,-50.260647,-35.17087,0.4007128179073334
training,0.0,Undifferentiated,7,0.18108318746089935,-22.182613,-27.032887,0.1408158540725708
training,0.0,Undifferentiated,7,0.16271676123142242,-21.714685,-27.564964,0.14879588782787323
training,0.0,Undifferentiated,7,0.17487166821956635,-45.50309,-19.195791,0.13706037402153015
training,0.0,Sandy Clay Loam,7,0.24693582952022552,18.052471,-50.44227,0.15759919583797455
training,0.0,Sandy Clay Loam,7,0.4141600430011749,2.680822,-73.98333,0.33605796098709106
training,0.0,Sandy Clay Loam,7,0.3509599268436432,11.245909,-64.54904,0.2588905394077301
training,0.0,Sandy Clay Loam,7,0.3587287962436676,17.014822,-63.93493,0.10847604274749756
training,0.0,Sandy Clay Loam,7,0.210479736328125,10.143888,2.494877,0.04515150934457779
training,0.0,Undifferentiated,7,0.18619567155838013,-68.20635,-10.138011,0.06722935289144516
training,0.0,Undifferentiated,11,0.14715972542762756,44.266773,-25.854843,0.07084887474775314
training,0.0,Sandy Clay Loam,7,0.3969598114490509,6.1544266,-74.78493,0.41336479783058167
training,0.0,Undifferentiated,7,0.1884157359600067,-61.700523,-20.110659,0.12684525549411774
training,0.0,Sandy Clay Loam,7,0.2773020565509796,4.122359,-25.580341,0.06031915545463562
training,0.0,Undifferentiated,7,0.1392773985862732,-39.21805,7.128105,0.09264422953128815
training,0.0,Sandy Clay Loam,7,0.43825599551200867,24.73925,-58.42911,0.11983231455087662
training,0.0,Undifferentiated,7,0.22222894430160522,-62.764503,-14.469842,0.10431843996047974
training,0.0,Sandy Clay Loam,7,0.22331304848194122,36.756958,14.295809,0.07057847827672958
training,0.0,Sandy Clay Loam,11,0.38180044293403625,55.30876,-14.906275,0.2052544355392456
training,0.0,Sandy Clay Loam,7,0.28991785645484924,-0.7469267,-7.0666227,0.06350530683994293
